incident_id,date,n_killed,n_injured,latitude,longitude,n_guns_involved,participan_age,participant_gendre,participant_status,,,,,,,,,,,,,,,,,,,,,,,,,,
147092,27/05/2014,0,0,0.645453383,0.788764205,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
142472,27/05/2014,0,1,0.46599412,0.788610455,0,1::20,0::Male||1::Male,0::Injured||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139747,27/05/2014,1,0,0.642903231,0.788787532,0,0::21||1::31,0::Male||1::Male||2::Male,0::Killed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140295,27/05/2014,1,0,0.462201231,0.763996764,0,0::32,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
141696,27/05/2014,0,1,0.580915745,0.866981305,0,1::20,0::Male||1::Male,0::Injured||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139743,27/05/2014,0,0,0.645336348,0.788460947,0,0::37,0::Female,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140275,27/05/2014,0,1,0.539746802,0.765289319,0,1::20,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139295,27/05/2014,1,0,0.664015905,0.785116632,0,0::53,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
149240,27/05/2014,0,1,0.400404698,0.868652402,0,1::34,0::Male||1::Male,0::Injured||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139313,27/05/2014,0,0,0.651434538,0.834957952,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140444,27/05/2014,0,0,0.636383096,0.944913174,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
145932,27/05/2014,0,0,0.615438277,0.895901041,0,1::20,0::Male||1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139862,27/05/2014,0,0,0.645377926,0.787606312,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
184444,27/05/2014,0,0,0.636079726,0.701685836,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
184445,27/05/2014,0,0,0.699952108,0.711133473,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140423,27/05/2014,0,0,0.627101835,0.942822182,0,1::20,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
143368,27/05/2014,0,0,0.555361864,0.703056857,0,1::18||2::18||3::18,0::Male||1::Male||2::Male||3::Male||4::Male||5::Male,0::Unharmed||1::Unharmed||2::Unharmed||3::Unharmed||4::Unharmed||5::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139864,27/05/2014,0,1,0.515170788,0.530138597,0,0::26,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139709,27/05/2014,1,0,0.458388322,0.708990524,0,0::39||1::31||2::24,0::Male||1::Male||2::Male,0::Killed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140202,28/05/2014,1,0,0.557348396,0.452966993,0,0::33,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
